variant,year,week,sessions,trade_days,stocks,qualified_days,fallback_days,eligible,passes
open_comparator,2025,2025-04-07/2025-04-13,5,4,4,2,2,True,True
open_comparator,2025,2025-04-14/2025-04-20,5,3,3,2,1,True,True
open_comparator,2025,2025-04-21/2025-04-27,5,4,4,4,0,True,True
open_comparator,2025,2025-04-28/2025-05-04,4,4,4,3,1,True,True
open_comparator,2025,2025-05-05/2025-05-11,3,3,3,3,0,True,True
open_comparator,2025,2025-05-12/2025-05-18,5,4,4,4,0,True,True
open_comparator,2025,2025-05-19/2025-05-25,5,4,4,3,1,True,True
open_comparator,2025,2025-05-26/2025-06-01,5,4,4,4,0,True,True
open_comparator,2025,2025-06-02/2025-06-08,3,3,3,3,0,True,True
open_comparator,2025,2025-06-09/2025-06-15,5,5,5,5,0,True,True
open_comparator,2025,2025-06-16/2025-06-22,5,5,5,5,0,True,True
open_comparator,2025,2025-06-23/2025-06-29,5,2,2,0,2,True,True
open_comparator,2025,2025-06-30/2025-07-06,5,5,5,4,1,True,True
open_comparator,2025,2025-07-07/2025-07-13,5,5,5,5,0,True,True
open_comparator,2025,2025-07-14/2025-07-20,5,4,4,4,0,True,True
open_comparator,2025,2025-07-21/2025-07-27,5,5,5,5,0,True,True
open_comparator,2025,2025-07-28/2025-08-03,5,2,2,2,0,True,True
open_comparator,2025,2025-08-04/2025-08-10,5,4,4,4,0,True,True
open_comparator,2025,2025-08-11/2025-08-17,4,3,3,2,1,True,True
open_comparator,2025,2025-08-18/2025-08-24,5,5,5,3,2,True,True
open_comparator,2025,2025-08-25/2025-08-31,5,5,5,4,1,True,True
open_comparator,2025,2025-09-01/2025-09-07,5,5,5,4,1,True,True
open_comparator,2025,2025-09-08/2025-09-14,5,5,5,5,0,True,True
open_comparator,2025,2025-09-15/2025-09-21,5,4,4,4,0,True,True
open_comparator,2025,2025-09-22/2025-09-28,5,4,4,4,0,True,True
open_comparator,2025,2025-09-29/2025-10-05,4,4,4,3,1,True,True
open_comparator,2025,2025-10-06/2025-10-12,1,1,1,1,0,False,True
open_comparator,2025,2025-10-13/2025-10-19,5,5,5,4,1,True,True
open_comparator,2025,2025-10-20/2025-10-26,5,5,5,5,0,True,True
open_comparator,2025,2025-10-27/2025-11-02,5,4,4,4,0,True,True
open_comparator,2025,2025-11-03/2025-11-09,5,4,4,3,1,True,True
open_comparator,2025,2025-11-10/2025-11-16,5,3,3,2,1,True,True
open_comparator,2025,2025-11-17/2025-11-23,5,3,3,2,1,True,True
open_comparator,2025,2025-11-24/2025-11-30,5,5,5,4,1,True,True
open_comparator,2025,2025-12-01/2025-12-07,5,5,5,5,0,True,True
open_comparator,2025,2025-12-08/2025-12-14,5,4,4,4,0,True,True
open_comparator,2025,2025-12-15/2025-12-21,5,4,4,2,2,True,True
open_comparator,2025,2025-12-22/2025-12-28,4,3,3,3,0,True,True
open_comparator,2025,2025-12-29/2026-01-04,2,2,2,1,1,True,True
open_comparator,2026,2025-12-29/2026-01-04,1,1,1,1,0,False,True
open_comparator,2026,2026-01-05/2026-01-11,5,5,5,5,0,True,True
open_comparator,2026,2026-01-12/2026-01-18,5,4,4,3,1,True,True
open_comparator,2026,2026-01-19/2026-01-25,5,4,4,3,1,True,True
open_comparator,2026,2026-01-26/2026-02-01,5,2,2,1,1,True,True
open_comparator,2026,2026-02-02/2026-02-08,5,3,3,3,0,True,True
open_comparator,2026,2026-02-09/2026-02-15,5,4,4,2,2,True,True
open_comparator,2026,2026-02-16/2026-02-22,2,2,2,2,0,True,True
open_comparator,2026,2026-02-23/2026-03-01,5,3,3,2,1,True,True
open_comparator,2026,2026-03-02/2026-03-08,4,3,3,1,2,True,True
open_comparator,2026,2026-03-09/2026-03-15,5,4,4,3,1,True,True
open_comparator,2026,2026-03-16/2026-03-22,5,4,4,2,2,True,True
open_comparator,2026,2026-03-23/2026-03-29,5,3,3,3,0,True,True
open_comparator,2026,2026-03-30/2026-04-05,5,3,3,2,1,True,True
open_comparator,2026,2026-04-06/2026-04-12,5,4,4,2,2,True,True
open_comparator,2026,2026-04-13/2026-04-19,5,3,3,2,1,True,True
open_comparator,2026,2026-04-20/2026-04-26,5,3,3,2,1,True,True
open_comparator,2026,2026-04-27/2026-05-03,4,3,3,1,2,True,True
